FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,log_reviews,log_business_ct,crime_ct,med_income,log_pop,log_crimes
531800,1500,50400,-0.934684,1329,4.01,0.19428386011716492,10,7.192182058713246,2.302585092994046,46.0,11167,7.313220387090301,3.828641396489095
531900,866,53200,-1.5527,1230,4.418181818181818,0.3055139084931907,11,7.114769448366463,2.3978952727983707,42.0,26368,6.763884908562435,3.7376696182833684
532400,1569,33100,-0.954043,378,4.275,0.2839572211876288,4,5.934894195619588,1.3862943611198906,8.0,41528,7.358193752733032,2.0794415416798357
532600,2068,98100,-0.991057,1695,3.963636363636364,0.21842141460933517,11,7.43543801981455,2.3978952727983707,59.0,42098,7.63433723562832,4.07753744390572
533100,1388,76000,-1.049504,1428,4.085714285714286,0.1603299874051099,7,7.2640301428995295,1.9459101490553132,34.0,26726,7.23561914106675,3.5263605246161616
533200,1104,57900,-0.951711,553,4.466666666666667,0.1933591437513972,3,6.315358001522335,1.0986122886681098,30.0,9735,7.00669522683704,3.4011973816621555
533600,1390,51200,-0.773368,26,4.6,0.3696307692307692,1,3.258096538021482,0.0,45.0,30938,7.237059026124737,3.8066624897703196
533900,3356,140500,-0.648512,16442,4.119101123595506,0.2744628114346451,89,9.707594315712079,4.48863636973214,114.0,61250,8.118505067587098,4.736198448394496
534100,1691,81200,-1.028174,4050,3.8818181818181823,0.18945317696462952,11,8.306472160100585,2.3978952727983707,59.0,20694,7.43307534889858,4.07753744390572
534200,2991,63300,-0.731493,394,4.09,0.1857767245136082,10,5.976350909297934,2.302585092994046,88.0,21167,8.003363058629947,4.477336814478207
534300,1087,52300,-1.325924,2736,3.9111111111111114,0.21242784638448814,18,7.914252278742441,2.8903717578961645,41.0,36742,6.99117688712121,3.713572066704308
534400,1474,55800,-1.187281,370,4.3999999999999995,0.3351430863984389,4,5.91350300563827,1.3862943611198906,35.0,10625,7.295735072749282,3.5553480614894135
534700,3056,61300,-0.753231,2068,4.108333333333333,0.20798224747958774,12,7.63433723562832,2.4849066497880004,55.0,30982,8.024862150286411,4.007333185232471
535000,2411,71700,-1.130909,1233,4.153333333333333,0.23407031095846664,15,7.117205503164344,2.70805020110221,70.0,35887,7.787796878181171,4.248495242049359
535100,1717,74100,-0.424542,702,3.9181818181818184,0.21925946696319884,11,6.553933404025811,2.3978952727983707,69.0,32500,7.448333860897476,4.23410650459726
